Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0114","Sorghum","2023","2023","kg/ha","875.9","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0141","Soya beans","2021","2021","kg/ha","1880.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0141","Soya beans","2022","2022","kg/ha","2798.9","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0141","Soya beans","2023","2023","kg/ha","641.4","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","68955.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","75898.6","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","76338","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","2000","X","Figure from international organizations",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","1805.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","952.5","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01530","Sweet potatoes","2021","2021","kg/ha","9818.1","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01530","Sweet potatoes","2022","2022","kg/ha","9719.6","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01530","Sweet potatoes","2023","2023","kg/ha","9796.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01324","Tangerines, mandarins, clementines","2021","2021","kg/ha","17460.8","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01324","Tangerines, mandarins, clementines","2022","2022","kg/ha","16661.4","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01324","Tangerines, mandarins, clementines","2023","2023","kg/ha","16048.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01234","Tomatoes","2021","2021","kg/ha","76851.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01234","Tomatoes","2022","2022","kg/ha","76481.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01234","Tomatoes","2023","2023","kg/ha","76571","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01970","Unmanufactured tobacco","2021","2021","kg/ha","4084.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01970","Unmanufactured tobacco","2022","2022","kg/ha","4119.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01970","Unmanufactured tobacco","2023","2023","kg/ha","4154.8","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01221","Watermelons","2021","2021","kg/ha","17728.6","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01221","Watermelons","2022","2022","kg/ha","17799.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01221","Watermelons","2023","2023","kg/ha","17869.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0111","Wheat","2021","2021","kg/ha","4182.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0111","Wheat","2022","2022","kg/ha","4250.1","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0111","Wheat","2023","2023","kg/ha","5036.7","A","Official figure",""
