area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Suriname,Peas,4306.337107534705,-2507.507590390258,-1.0,-4.152843368952324
Austria,Millet and products,47775.2948867903,-36971.66940475867,-1.0,-4.153603990870199
Eswatini,Rape and Mustard Oil,4896.085758010374,-4896.085758010374,-1.0,-4.169642331697391
Kiribati,"Pulses, Other and products",527.459002362871,-527.459002362871,-1.0,-4.211047793022858
Democratic Republic of the Congo,Sunflowerseed Cake,390177.1562937368,-390090.50071369944,-1.0,-4.271128566878288
Uruguay,"Pulses, Other and products",19503.343196889426,-14697.679367854853,-1.0,-4.287198814753808
French Polynesia,Beans,1289.4359857656375,-1289.4359857656375,-1.0,-4.28751549755484
Estonia,Rape and Mustard Oil,66276.1019255543,-5723.877182959761,-0.09452794190951308,-4.306626646401933
Nepal,Sugar (Raw Equivalent),406179.7710868591,-125271.15307172446,-0.4459498393352075,-4.319810078790185
Vanuatu,Sunflowerseed Oil,1330.6293852415497,-1330.6293852415497,-1.0,-4.320618060218298
Mali,Beer,117645.83101239945,-90284.63100744222,-1.0,-4.322572779761622
Antigua and Barbuda,Soyabeans,401.7153660215984,-401.7153660215984,-1.0,-4.3486513528432225
Lao People's Democratic Republic,"Alcohol, Non-Food",38651.87433980254,-31651.131450724264,-1.0,-4.356267970783117
Jamaica,"Oilcrops Oil, Other",34563.43809055531,-12350.208526985469,-0.5559843737103436,-4.38810694825833
Bahamas,"Oilcrops, Other",1781.8851695312244,-1781.8851695312244,-1.0,-4.3912700497838095
Kiribati,Rape and Mustardseed,552.6134349399172,-552.6134349399172,-1.0,-4.411871965733515
Malta,Sesame seed,2288.788485157306,-2288.788485157306,-1.0,-4.491387249006183
Chile,Sesame seed,87103.6707396526,-86276.81050423402,-1.0,-4.492019160421308
Finland,Sesame seed,25628.30856867344,-24835.688871102568,-1.0,-4.4949723895092895
Côte d'Ivoire,"Beverages, Alcoholic",136717.62444302387,-119884.4088624125,-1.0,-4.527771647901447
Saint Kitts and Nevis,"Cereals, Other",216.69230300443937,-216.69230300443937,-1.0,-4.544625804921025
Botswana,"Beverages, Alcoholic",17851.575433066362,-11476.926261812423,-1.0,-4.547945233230775
Bahrain,Sugar (Raw Equivalent),6852.4416548654945,-6852.4416548654945,-1.0,-4.586539691469662
Zambia,Beer,447898.174608508,-87142.7038077428,-0.2415561532977255,-4.671299214917096
Grenada,"Beverages, Alcoholic",2510.639926647693,-577.4257868124848,-0.29868692500961425,-4.688457902487718
Belize,Rape and Mustard Oil,1854.7970926348455,-1854.7970926348455,-1.0,-4.726488796957504
Dominica,Barley and products,339.5698994748285,-339.5698994748285,-1.0,-4.731758255877996
Zambia,"Beverages, Alcoholic",98149.56254282512,-88585.84967608607,-1.0,-4.748659290600263
Belize,Rice and products,15907.422616418413,-1907.4226164184129,-0.13624447260131523,-4.860591847681889
Guyana,"Oilcrops Oil, Other",9556.95228415578,-3862.6376281914345,-0.6783323124136855,-4.878040856877299
Sao Tome and Principe,"Alcohol, Non-Food",1055.0693324793765,-1055.0693324793765,-1.0,-4.879565134349773
Malta,"Oilcrops, Other",2965.320775904856,-2510.5954463909675,-1.0,-4.926648507915045
Lesotho,"Oilcrops Oil, Other",13014.501371483444,-11152.087402162771,-1.0,-4.979490750223152
Lao People's Democratic Republic,Sugar (Raw Equivalent),279786.56918486697,-36258.382761657005,-0.14888782811631573,-4.990381836519995
Kenya,"Alcohol, Non-Food",277487.7807394197,-257599.85992095317,-1.0,-5.005806523431339
