area,item,ai_e_index,combined_shocks
Algeria,Sunflower seed,,-55389178.693815455
Algeria,Sunflowerseed Cake,,-1995006.6275443416
Algeria,Sunflowerseed Oil,,-1965680.3104197746
Algeria,Sweet potatoes,,-0.0891556795824496
Algeria,"Sweeteners, Other",,263219.7715921706
Algeria,Tea (including mate),,14668.361443761312
Algeria,Tobacco,,3913.496106965094
Algeria,Tomatoes and products,,2862386.030398903
Algeria,"Vegetables, Other",,11775467.737441653
Algeria,Wheat and products,,2670413.65087776
Algeria,Wine,,39490.513764140036
Algeria,Wool (Clean Eq.),,
Algeria,Yams,,0.0
Angola,Abaca,,0.0
Angola,"Alcohol, Non-Food",,67910.4480253223
Angola,Apples and products,,6983.0253377979525
Angola,Asses,,0.0
Angola,Bananas,,1234.6577969496284
Angola,Barley and products,,121.76304145596272
Angola,Beans,,47535.94151005438
Angola,Beer,,1413836.5108367028
Angola,"Beverages, Alcoholic",,8022.294374567564
Angola,"Beverages, Fermented",,173.76174553125037
Angola,Bovine Meat,,
Angola,Buffaloes,,
Angola,"Butter, Ghee",,
Angola,"Camelids, other",,0.0
Angola,Camels,,
Angola,Cassava and products,,3.8149586105463604
Angola,Cattle,,
Angola,"Cereals, Other",,13.398699892226613
Angola,"Citrus, Other",,8.707166177443728
Angola,Cloves,,0.0
Angola,Cocoa Beans and products,,753.3517544352695
Angola,Coconut Oil,,0.0
Angola,Coconuts - Incl Copra,,2034.8186348635472
Angola,Coffee and products,,1470.2181081049366
Angola,Copra Cake,,0.0
Angola,Cotton lint,,3834.3317103866993
Angola,Cottonseed,,8167.998346105735
Angola,Cottonseed Cake,,5486.195578991592
Angola,Cottonseed Oil,,3883.3143696721318
Angola,Dates,,7.230721559448423
Angola,Eggs,,
Angola,"Fats, Animals, Raw",,
Angola,"Fish, Seafood",,759251.3633490568
Angola,Fodder crops,,0.39915609188510925
Angola,"Fruits, Other",,665.8117279298646
Angola,Goats,,
Angola,Grapefruit and products,,0.027014052059340838
Angola,Grapes and products (excl wine),,0.21172567070929088
Angola,Grazing,,0.0
Angola,Groundnut Cake,,-470.6214787758506
Angola,Groundnut Oil,,-356.0603223923408
Angola,Groundnuts,,-2119.9913719433207
Angola,"Hard Fibres, Other",,0.04289380867071139
Angola,Hides and skins,,
Angola,Honey,,0.1532734461848019
Angola,Hops,,0.0
Angola,Horses,,
Angola,Jute,,0.0
Angola,Jute-Like Fibres,,1387.1419215818828
Angola,"Lemons, Limes and products",,902.3043492520126
Angola,Maize Germ Oil,,1.669430250912143
Angola,Maize and products,,1107766.133660624
Angola,"Meat, Other",,
Angola,Milk - Excluding Butter,,
Angola,Millet and products,,-5944.117586284503
Angola,Mules,,
Angola,Mutton & Goat Meat,,
Angola,Nuts and products,,3362.9100951488713
Angola,Oats,,2504.4986423722053
Angola,"Offals, Edible",,
Angola,"Oil, palm fruit",,0.0
